2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:54 | Parsed JSON using direct parse
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:54 | Parsed JSON using direct parse
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:104 | Parsed JSON after fixing trailing commas
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:104 | Parsed JSON after fixing trailing commas
2026-01-20 13:34:45 | edumind.json_parser  | WARNING  | json_parser.py:43 | Empty input string
2026-01-20 13:34:45 | edumind.json_parser  | WARNING  | json_parser.py:39 | Input is not a string: <class 'int'>
2026-01-20 13:34:45 | edumind.json_parser  | ERROR    | json_parser.py:160 | Failed to parse JSON after trying: ['direct_parse', 'extract_object', 'extract_array', 'clean_markdown', 'fix_trailing_commas', 'fix_single_quotes', 'nested_markdown', 'aggressive_brackets']
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:161 | Raw input (first 500 chars): not json at all
2026-01-20 13:34:45 | edumind.json_parser  | ERROR    | json_parser.py:160 | Failed to parse JSON after trying: ['direct_parse', 'extract_object', 'extract_array', 'clean_markdown', 'fix_trailing_commas', 'fix_single_quotes', 'nested_markdown', 'aggressive_brackets']
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:161 | Raw input (first 500 chars): [1, 2]
2026-01-20 13:34:45 | edumind.json_parser  | ERROR    | json_parser.py:160 | Failed to parse JSON after trying: ['direct_parse', 'extract_object', 'extract_array', 'clean_markdown', 'fix_trailing_commas', 'fix_single_quotes', 'nested_markdown', 'aggressive_brackets']
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:161 | Raw input (first 500 chars): {"key": "value"}
2026-01-20 13:34:45 | edumind.json_parser  | ERROR    | json_parser.py:160 | Failed to parse JSON after trying: ['direct_parse', 'extract_object', 'extract_array', 'clean_markdown', 'fix_trailing_commas', 'fix_single_quotes', 'nested_markdown', 'aggressive_brackets']
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:161 | Raw input (first 500 chars): invalid
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:54 | Parsed JSON using direct parse
2026-01-20 13:34:45 | edumind.json_parser  | DEBUG    | json_parser.py:54 | Parsed JSON using direct parse
2026-01-20 13:34:45 | edumind.json_parser  | INFO     | json_parser.py:204 | Extracted 1 valid quiz questions from 1 items
